attribute,average_size
addressHttp,40.0
userAgentHttp,95.06213333333334
acceptHttp,67.85693333333333
hostHttp,17.0
connectionHttp,5.0
encodingHttp,17.096
languageHttp,19.3574
orderHttp,92.50253333333333
pluginsJS,425.1139333333333
platformJS,7.759933333333334
cookiesJS,2.988933333333333
dntJS,2.651266666666667
timezoneJS,3.2776
resolutionJS,11.438866666666666
localJS,2.6308666666666665
sessionJS,2.6311333333333335
IEDataJS,2.0
fontsFlash,1424.9462
resolutionFlash,20.569066666666668
languageFlash,18.0312
platformFlash,21.666866666666667
adBlock,2.376
vendorWebGLJS,13.123733333333334
rendererWebGLJS,21.4604
octaneScore,3.0
sunspiderTime,3.0
pluginsJSHashed,40.0
canvasJSHashed,40.0
webGLJsHashed,40.0
fontsFlashHashed,40.0
osDetailed,5.537933333333333
browserDetailed,4.723
browserVersion,3.0
