attribute,proportion_of_changes
http_referrer,0.8130356786924456
http_user_agent,0.07853298784133944
http_accept,0.005780346820809248
http_accept_charset,0.7163643611720152
http_accept_encoding,0.020530197329081123
http_accept_language,0.009368148295794299
png_id,0.5411600558102452
document_referrer,0.8255929838548933
navigator_appCodeName,0.21566673310743473
navigator_appName,0.21646402232409806
navigator_appVersion,0.24955152481562687
navigator_cookieEnabled,0.21646402232409806
navigator_language,0.21925453458241978
navigator_platform,0.2188558899740881
navigator_userAgent,0.27885190352800476
screen_width,0.2627067968905721
screen_height,0.26310544149890375
screen_avail_width,0.2710783336655372
screen_avail_height,0.2778552920071756
color_depth,0.21686266693242973
dpi_x,0.2166633446282639
dpi_y,0.2170619892365956
devicePixelRatio,0.2188558899740881
timezone_offset,0.21985250149491728
java_enabled,0.5132549332270281
color_activeborder,0.30516244767789513
color_activecaption,0.304165836157066
color_appworkspace,0.304165836157066
color_background,0.3043651584612318
color_buttonface,0.30456448076539766
color_buttonhighlight,0.3031692246362368
color_buttonshadow,0.30456448076539766
color_buttontext,0.30356786924456847
color_captiontext,0.304165836157066
color_graytext,0.304165836157066
color_highlight,0.304165836157066
color_highlighttext,0.3033685469404026
color_inactiveborder,0.304165836157066
color_inactivecaption,0.304165836157066
color_inactivecaptiontext,0.30456448076539766
color_infobackground,0.3043651584612318
color_infotext,0.30396651385290013
color_menu,0.30894957145704605
color_menutext,0.3037671915487343
color_scrollbar,0.304165836157066
color_threeddarkshadow,0.3037671915487343
color_threedface,0.30456448076539766
color_threedhighlight,0.3031692246362368
color_threedlightshadow,0.30456448076539766
color_threedshadow,0.30456448076539766
color_window,0.30396651385290013
color_windowframe,0.30396651385290013
color_windowtext,0.3037671915487343
plugin_flash,0.3368546940402631
plugin_adobe_acrobat,0.6741080326888579
plugin_silverlight,0.6822802471596572
plugins,0.377117799481762
mimetypes,0.3412397847319115
fonts,0.4426948375523221
ignorelevel,0.5919872433725334
