attribute,average_size
http_referrer,25.70871820827534
http_user_agent,90.85482306297186
http_accept,69.79944324939896
http_accept_charset,10.953477582352694
http_accept_encoding,13.589986924796492
http_accept_language,26.106837066093046
png_id,5.9083892192838166
document_referrer,25.452317685267197
navigator_appCodeName,6.627989371124889
navigator_appName,8.400143405457843
navigator_appVersion,51.605550634780045
navigator_cookieEnabled,3.0
navigator_language,3.845375173984563
navigator_platform,6.372474587709308
navigator_userAgent,86.53502889198195
screen_width,5.637816862794719
screen_height,5.377957737568012
screen_avail_width,5.636214095912944
screen_avail_height,5.294740393943228
color_depth,3.9037918090176724
dpi_x,3.9074191235395843
dpi_y,3.906997342781222
devicePixelRatio,3.8460078451221054
timezone_offset,4.800160276688177
java_enabled,3.0
color_activeborder,8.242903538740563
color_activecaption,7.769496815555274
color_appworkspace,8.459487958159349
color_background,5.841283900628453
color_buttonface,8.563794339702223
color_buttonhighlight,8.565312750432325
color_buttonshadow,8.355940781981525
color_buttontext,3.496984267577713
color_captiontext,4.223375089628411
color_graytext,7.885444346028934
color_highlight,7.947488295583955
color_highlighttext,7.102324011978573
color_inactiveborder,8.563414737019697
color_inactivecaption,8.463326163060442
color_inactivecaptiontext,7.274284027162681
color_infobackground,8.301868488759542
color_infotext,3.482981146400101
color_menu,8.55367160150154
color_menutext,4.054747142435362
color_scrollbar,8.56459572314311
color_threeddarkshadow,6.679024842886667
color_threedface,8.563794339702223
color_threedhighlight,8.565312750432325
color_threedlightshadow,8.564553545067273
color_threedshadow,7.80222700240415
color_window,8.56438483276393
color_windowframe,7.483824707916825
color_windowtext,3.4851322282677466
plugin_flash,6.9280863806993125
plugin_adobe_acrobat,4.042768568897887
plugin_silverlight,6.116453667383694
plugins,51.69914378506053
mimetypes,52.28575646379012
fonts,45.53456493314775
ignorelevel,1.0
